wl,n
1.287,3.90021
1.288,3.89963
1.289,3.89905
1.290,3.89848
1.291,3.89790
1.292,3.89733
1.293,3.89675
1.294,3.89617
1.295,3.89560
1.296,3.89503
1.297,3.89446
1.298,3.89389
1.299,3.89333
1.300,3.89276
1.301,3.89219
1.302,3.89163
1.303,3.89107
1.304,3.89050
1.305,3.88994
1.306,3.88938
1.307,3.88883
1.308,3.88827
1.309,3.88771
1.310,3.88716
1.311,3.88660
1.312,3.88605
1.313,3.88550
1.314,3.88495
1.315,3.88440
1.316,3.88385
1.317,3.88330
1.318,3.88276
1.319,3.88221
1.320,3.88167
1.321,3.88112
1.322,3.88058
1.323,3.88004
1.324,3.87950
1.325,3.87896
1.326,3.87842
1.327,3.87789
1.328,3.87735
1.329,3.87682
1.330,3.87628
1.331,3.87575
1.332,3.87522
1.333,3.87469
1.334,3.87416
1.335,3.87363
1.336,3.87310
1.337,3.87258
1.338,3.87205
1.339,3.87153
1.340,3.87100
1.341,3.87048
1.342,3.86996
1.343,3.86944
1.344,3.86893
1.345,3.86841
1.346,3.86789
1.347,3.86737
1.348,3.86686
1.349,3.86635
1.350,3.86583
1.351,3.86532
1.352,3.86481
1.353,3.86430
1.354,3.86379
1.355,3.86328
1.356,3.86278
1.357,3.86227
1.358,3.86177
1.359,3.86126
1.360,3.86076
1.361,3.86026
1.362,3.85976
1.363,3.85926
1.364,3.85875
1.365,3.85826
1.366,3.85776
1.367,3.85727
1.368,3.85677
1.369,3.85628
1.370,3.85578
1.371,3.85529
1.372,3.85480
1.373,3.85431
1.374,3.85382
1.375,3.85333
1.376,3.85284
1.377,3.85236
1.378,3.85187
1.379,3.85139
1.380,3.85090
1.381,3.85042
1.382,3.84994
1.383,3.84946
1.384,3.84898
1.385,3.84850
1.386,3.84802
1.387,3.84754
1.388,3.84707
1.389,3.84659
1.390,3.84612
1.391,3.84564
1.392,3.84517
1.393,3.84470
1.394,3.84423
1.395,3.84376
1.396,3.84329
1.397,3.84282
1.398,3.84235
1.399,3.84188
1.400,3.84142
1.401,3.84095
1.402,3.84049
1.403,3.84002
1.404,3.83956
1.405,3.83910
1.406,3.83864
1.407,3.83818
1.408,3.83772
1.409,3.83726
1.410,3.83681
1.411,3.83635
1.412,3.83589
1.413,3.83544
1.414,3.83499
1.415,3.83453
1.416,3.83408
1.417,3.83363
1.418,3.83318
1.419,3.83272
1.420,3.83228
1.421,3.83183
1.422,3.83139
1.423,3.83094
1.424,3.83049
1.425,3.83005
1.426,3.82961
1.427,3.82916
1.428,3.82872
1.429,3.82828
1.430,3.82784
1.431,3.82740
1.432,3.82696
1.433,3.82652
1.434,3.82609
1.435,3.82565
1.436,3.82521
1.437,3.82478
1.438,3.82434
1.439,3.82391
1.440,3.82348
1.441,3.82305
1.442,3.82262
1.443,3.82219
1.444,3.82176
1.445,3.82133
1.446,3.82090
1.447,3.82047
1.448,3.82005
1.449,3.81962
1.450,3.81920
1.451,3.81877
1.452,3.81835
1.453,3.81793
1.454,3.81750
1.455,3.81708
1.456,3.81666
1.457,3.81624
1.458,3.81583
1.459,3.81541
1.460,3.81499
1.461,3.81457
1.462,3.81416
1.463,3.81374
1.464,3.81333
1.465,3.81292
1.466,3.81250
1.467,3.81209
1.468,3.81168
1.469,3.81127
1.470,3.81086
1.471,3.81045
1.472,3.81004
1.473,3.80963
1.474,3.80923
1.475,3.80882
1.476,3.80842
1.477,3.80801
1.478,3.80761
1.479,3.80720
1.480,3.80680
1.481,3.80640
1.482,3.80600
1.483,3.80560
1.484,3.80520
1.485,3.80480
1.486,3.80440
1.487,3.80400
1.488,3.80361
1.489,3.80321
1.490,3.80281
1.491,3.80242
1.492,3.80202
1.493,3.80163
1.494,3.80124
1.495,3.80085
1.496,3.80045
1.497,3.80006
1.498,3.79967
1.499,3.79928
1.500,3.79890
1.501,3.79851
1.502,3.79812
